; s0arec's IP Block List
; Homepage: https://blocklists.s0arec.ro/ipbl.txt
; E-mail: blocklists@s0arec.ro
; Description: For feedback and false positive enterys, send me an e-mail.
; Donations: https://www.buymeacoffee.com/s0arec
; Donations (BTC): 359hwpK3pPeTM7XomnNjFRSrpYJ6ixQnDb
; Version: 20211210

197.231.221.211 ; WannaCry - 2017-05-14
91.121.65.179 ; WannaCry - 2017-05-14
128.31.0.39 ; WannaCry - 2017-05-14
149.202.160.69 ; WannaCry - 2017-05-14
46.101.166.19 ; WannaCry - 2017-05-14
188.166.23.127 ; WannaCry - 2017-05-14
193.23.244.244 ; WannaCry - 2017-05-14
2.3.69.209 ; WannaCry - 2017-05-14
146.0.32.144 ; WannaCry - 2017-05-14
50.7.161.218 ; WannaCry - 2017-05-14
217.79.179.77 ; WannaCry - 2017-05-14
128.31.0.39 ; WannaCry - 2017-05-14
213.61.66.116 ; WannaCry - 2017-05-14
212.47.232.237 ; WannaCry - 2017-05-14
81.30.158.223 ; WannaCry - 2017-05-14
79.172.193.32 ; WannaCry - 2017-05-14
89.45.235.21 ; WannaCry - 2017-05-14
38.229.72.16 ; WannaCry - 2017-05-14
188.138.33.220 ; WannaCry - 2017-05-14
185.165.29.78 ; Petya - 2017-06-28
84.200.16.242 ; Petya - 2017-06-28
111.90.139.247 ; Petya - 2017-06-28
95.141.115.108 ; Petya - 2017-06-28
118.184.48.95 ; twitter.com/0xAmit/status/1035549398300848129?s=09
104.148.42.153 ; twitter.com/0xAmit/status/1035549398300848129?s=09
107.179.67.243 ; twitter.com/0xAmit/status/1035549398300848129?s=09
172.247.116.8 ; twitter.com/0xAmit/status/1035549398300848129?s=09
172.247.116.87 ; twitter.com/0xAmit/status/1035549398300848129?s=09
45.199.154.141 ; twitter.com/0xAmit/status/1035549398300848129?s=09
89.42.208.248 ; Cobalt 2018-10-31
216.244.84.81 ; Cobalt 2018-10-31
176.57.71.188 ; Cobalt 2018-10-31
176.57.71.190 ; Cobalt 2018-10-31
176.57.71.191 ; Cobalt 2018-10-31
194.99.21.125 ; Cobalt 2018-10-31
34.194.20.115 ; White Rabbit - 2019-01-29 https://www.bleepingcomputer.com/news/security/spam-campaign-follows-the-white-rabbit-to-nsfw-phishing-scams/#.XE9WY89zJp0.facebook
52.211.95.198 ; White Rabbit - 2019-01-29 https://www.bleepingcomputer.com/news/security/spam-campaign-follows-the-white-rabbit-to-nsfw-phishing-scams/#.XE9WY89zJp0.facebook
34.210.90.78 ; White Rabbit - 2019-01-29 https://www.bleepingcomputer.com/news/security/spam-campaign-follows-the-white-rabbit-to-nsfw-phishing-scams/#.XE9WY89zJp0.facebook
